timestamp,irradiance,generation
2024-06-01T00:00:00.0,0.0,0.0
2024-06-01T01:00:00.0,0.0,0.0
2024-06-01T02:00:00.0,0.0,0.0
2024-06-01T03:00:00.0,0.0,0.0
2024-06-01T04:00:00.0,0.0,0.0
2024-06-01T05:00:00.0,0.0,0.0
2024-06-01T06:00:00.0,6.582014807334665e-14,5.503369696923949e-17
2024-06-01T07:00:00.0,274.5622771282293,0.22956765672756174
2024-06-01T08:00:00.0,511.43864594774135,0.4276252831895984
2024-06-01T09:00:00.0,687.5586933153452,0.5748831913036297
2024-06-01T10:00:00.0,799.6230828220777,0.6685827321537019
2024-06-01T11:00:00.0,858.0910804453011,0.7174691318015579
2024-06-01T12:00:00.0,875.7569409589181,0.7322399526317369
2024-06-01T13:00:00.0,858.0910804453011,0.7174691318015579
2024-06-01T14:00:00.0,799.6230828220777,0.6685827321537019
2024-06-01T15:00:00.0,687.5586933153452,0.5748831913036297
2024-06-01T16:00:00.0,511.43864594774135,0.4276252831895984
2024-06-01T17:00:00.0,274.5622771282293,0.22956765672756174
2024-06-01T18:00:00.0,6.582014807334665e-14,5.503369696923949e-17
2024-06-01T19:00:00.0,0.0,0.0
2024-06-01T20:00:00.0,0.0,0.0
2024-06-01T21:00:00.0,0.0,0.0
2024-06-01T22:00:00.0,0.0,0.0
2024-06-01T23:00:00.0,0.0,0.0
2024-06-02T00:00:00.0,0.0,0.0
2024-06-02T01:00:00.0,0.0,0.0
2024-06-02T02:00:00.0,0.0,0.0
2024-06-02T03:00:00.0,0.0,0.0
2024-06-02T04:00:00.0,0.0,0.0
2024-06-02T05:00:00.0,0.0,0.0
2024-06-02T06:00:00.0,4.771458468148793e-14,3.989523073463679e-17
2024-06-02T07:00:00.0,199.02582232860857,0.16640993853251032
2024-06-02T08:00:00.0,370.6772570379154,0.30993153972368903
2024-06-02T09:00:00.0,498.21694832234766,0.4165703262830296
2024-06-02T10:00:00.0,579.290258565242,0.48435753307005497
