timestamp,grid_price,feed_in_tariff
2024-06-01T00:00:00.0,0.061769449454075503,0.05
2024-06-01T01:00:00.0,0.061769449454075503,0.05
2024-06-01T02:00:00.0,0.061769449454075503,0.05
2024-06-01T03:00:00.0,0.061769449454075503,0.05
2024-06-01T04:00:00.0,0.061769449454075503,0.05
2024-06-01T05:00:00.0,0.061769449454075503,0.05
2024-06-01T06:00:00.0,0.08824207064867931,0.05
2024-06-01T07:00:00.0,0.10589048477841516,0.05
2024-06-01T08:00:00.0,0.10589048477841516,0.05
2024-06-01T09:00:00.0,0.10589048477841516,0.05
2024-06-01T10:00:00.0,0.08824207064867931,0.05
2024-06-01T11:00:00.0,0.08824207064867931,0.05
2024-06-01T12:00:00.0,0.08824207064867931,0.05
2024-06-01T13:00:00.0,0.08824207064867931,0.05
2024-06-01T14:00:00.0,0.08824207064867931,0.05
2024-06-01T15:00:00.0,0.08824207064867931,0.05
2024-06-01T16:00:00.0,0.08824207064867931,0.05
2024-06-01T17:00:00.0,0.10589048477841516,0.05
2024-06-01T18:00:00.0,0.10589048477841516,0.05
2024-06-01T19:00:00.0,0.10589048477841516,0.05
2024-06-01T20:00:00.0,0.10589048477841516,0.05
2024-06-01T21:00:00.0,0.08824207064867931,0.05
2024-06-01T22:00:00.0,0.061769449454075503,0.05
2024-06-01T23:00:00.0,0.061769449454075503,0.05
2024-06-02T00:00:00.0,0.06474280898538516,0.05
2024-06-02T01:00:00.0,0.06474280898538516,0.05
2024-06-02T02:00:00.0,0.06474280898538516,0.05
2024-06-02T03:00:00.0,0.06474280898538516,0.05
2024-06-02T04:00:00.0,0.06474280898538516,0.05
2024-06-02T05:00:00.0,0.06474280898538516,0.05
2024-06-02T06:00:00.0,0.09248972712197882,0.05
2024-06-02T07:00:00.0,0.11098767254637457,0.05
2024-06-02T08:00:00.0,0.11098767254637457,0.05
2024-06-02T09:00:00.0,0.11098767254637457,0.05
2024-06-02T10:00:00.0,0.09248972712197882,0.05
2024-06-02T11:00:00.0,0.09248972712197882,0.05
2024-06-02T12:00:00.0,0.09248972712197882,0.05
2024-06-02T13:00:00.0,0.09248972712197882,0.05
2024-06-02T14:00:00.0,0.09248972712197882,0.05
2024-06-02T15:00:00.0,0.09248972712197882,0.05
